,time_tdb,time_e,time_win,ap_flux,ap_flux_err,npix_detect,time_utc_sc,time_utc_geo,nframes,sector,camera,ccd,ap_flux_lo5,ap_flux_hi5,ap_flux_lo10,ap_flux_hi10,bkg_flux,bkg_ap_flux_std,bkg_ap_flux_m,bkg_ap_flux_p,prf_flux,prf_flux_err,bkg_prf_flux,bkg_prf_flux_std,bkg_prf_flux_m,bkg_prf_flux_p,v_mag,ra_ephem,dec_ephem,ra_model,dec_model
0,2460816.866809698,0.40975807180029733,1.4214204067106948,0.9565060143592499,0.19734627230682264,2.0,2460816.866008944,2460816.8660149295,521,92,1,2,0.3303435325738579,1.5554862472551494,0.3303435325738579,1.4934180404250659,0.13809369230864454,0.2412273308488536,-0.1271003782071013,0.36685366273035,1.3290600373246413,0.25445206475867455,-0.12217955818733518,0.2731308447400081,-0.2873592375120447,0.0492125686852279,19.209172525638778,286.0448417222287,-18.704882294372126,286.04477921640233,-18.704883602002727
1,2460818.0729332445,0.3009518734829726,1.2038069779555371,1.3713771675305293,0.1778291343590802,3.0,2460818.072132491,2460818.0721403332,521,92,1,2,0.4283342080218777,1.7816907340130932,0.4283342080218777,1.7757588900778658,0.07488259974626539,0.17169487400288333,-0.007268654536997959,0.20664306543939365,1.7243781591860194,0.21343243652794142,-0.07216980876340676,0.2150327762356062,-0.19851471594833422,0.0542483842156581,19.171681896024484,285.80372892212984,-18.70170560178401,285.80366592875254,-18.7017045411727
2,2460819.279053278,0.30095087512972896,1.2038030058397453,1.421406537563771,0.17670099814096493,4.0,2460819.278252525,2460819.2782624424,521,92,1,2,0.2547935846321168,2.1471012757976986,0.2547935846321168,2.1471012757976986,0.02677721002898104,0.1811230069677931,-0.09135341335695774,0.14202283644752903,1.752653372207119,0.224232569121152,-0.06140364230087928,0.21498509962339138,-0.2149106812260748,0.07257955196205364,19.133662629968477,285.54676474000615,-18.69712581968306,285.54670281828703,-18.697124540597194
3,2460820.485169313,0.30094989670078576,1.2037991270321982,1.185803258003289,0.17763089075493935,3.0,2460820.48436856,2460820.484380091,521,92,1,2,0.36163671792484997,1.663152369376445,0.36163671792484997,1.663152369376445,-0.007938073601312653,0.1784514387037597,-0.12943739057277842,0.09164241188326491,1.7529579140863003,0.21732399806921518,0.08357020933209647,0.2156294675102221,-0.10436692502518266,0.20296842624586853,19.095502997121315,285.277881550843,-18.693693615500074,285.2778220881084,-18.693692731681637
4,2460821.6912815915,0.30094898211655163,1.2037954926831844,1.431395989900848,0.1815000615690059,4.0,2460821.690480839,2460821.690493405,521,92,1,2,0.3439582924505469,1.7295163212394915,0.3439582924505469,1.7295163212394915,0.0025870027916422935,0.17786785719830778,-0.16314047200384332,0.17006846774815448,1.9400442130113589,0.22845855927321135,0.014241812635721654,0.2199379038839233,-0.21348515676996002,0.27511585630126906,19.058012031960562,284.99892744064744,-18.692038999583897,284.9988711339054,-18.69203860168103
5,2460822.8973903228,0.41438205447775545,1.4283451676083132,2.17613002474674,0.1740607779092082,6.0,2460822.89658957,2460822.896602578,521,92,1,2,0.5601292033233902,2.879603412565183,0.5601292033233902,2.879603412565183,-0.058649969011693934,0.18911347579767956,-0.23678860807640445,0.08117908790570749,2.4477374346951906,0.21065801489546787,-0.04002459830065194,0.22574008868714288,-0.2097784451027191,0.1128111190057791,19.019311829621415,284.7107829030002,-18.69236531054878,284.7107300546369,-18.69236544511013
6,2460824.326890985,0.30094701504413024,1.2014730891132785,2.5617789800978468,0.18796941245680568,5.0,2460824.326090233,2460824.32610299,520,92,1,2,0.6788521807635728,2.983813938142094,0.6788521807635728,2.983813938142094,-0.023763634946845615,0.19283918102396327,-0.25691495872562725,0.17638856913548795,2.9832276573964416,0.22297587361109603,-0.03387777124056515,0.22799549016933862,-0.24288828927807876,0.22904052750205747,18.97359317660151,284.35818525211766,-18.69549307670839,284.35813902501013,-18.69549322692044
7,2460825.53067743,0.30094621408716193,1.2014698958150802,2.397080802859961,0.20748979834861933,5.0,2460825.5298766783,2460825.5298885545,520,92,1,2,0.6140925320165473,4.6803237691859225,0.6140925320165473,4.6803237691859225,-0.21213655920237096,0.19151851824731903,-0.4802806304619914,0.056953288111235,2.7084926937968747,0.2647756959362765,0.04013539410417754,0.23729767605574786,-0.3723430247032817,0.3554320547887425,18.93607637929514,284.0526255942773,-18.700638478292095,284.05258399166183,-18.70063884192681
8,2460826.7344607837,0.30094548147212663,1.2014669864056486,2.373537506382441,0.1955111577457035,5.0,2460826.7336600325,2460826.7336703953,520,92,1,2,0.7396401807170775,3.92122757255467,0.7396401807170775,3.8935376589700392,0.0845426075430818,0.19989890916363695,-0.22061804594509316,0.3164348363930054,3.268335004376086,0.227012663094775,0.02978349252397078,0.24369522115647688,-0.1349679439493359,0.199325085988455,18.89762567510944,283.740074030516,-18.708339702632067,283.7400371011446,-18.70834024985391
9,2460827.938241534,0.30094495980870306,1.2014649609086518,2.6025859885024114,0.2514065607254049,6.0,2460827.937440783,2460827.937449034,520,92,1,2,0.4744362048927604,3.601796551058222,0.4744362048927604,3.587793755817618,0.020405606569823775,0.22550374910985013,-0.2779056970712661,0.3801601663127221,2.214609016334288,0.30883793689834166,0.018451583090913735,0.2858009677514276,-0.27564631487463676,0.2928279253771862,18.857975882563984,283.42202655714016,-18.718823414899497,283.42199435050003,-18.718824221052614
