,time_tdb,time_e,time_win,ap_flux,ap_flux_err,npix_detect,time_utc_sc,time_utc_geo,nframes,sector,camera,ccd,ap_flux_lo5,ap_flux_hi5,ap_flux_lo10,ap_flux_hi10,bkg_flux,bkg_ap_flux_std,bkg_ap_flux_m,bkg_ap_flux_p,prf_flux,prf_flux_err,bkg_prf_flux,bkg_prf_flux_std,bkg_prf_flux_m,bkg_prf_flux_p,v_mag,ra_ephem,dec_ephem,ra_model,dec_model
0,2460816.866809698,0.40975807180029733,1.4214204067106948,0.9889959044174532,0.19748031206386782,2.0,2460816.866008944,2460816.8660149295,521,92,1,2,0.21260326996420872,1.4337358666853688,0.21260326996420872,1.4186608502033387,-0.017692177836531937,0.20484779637982947,-0.13455268445373297,0.14962050589485928,1.3290774585038294,0.25445206475867455,-0.1023610528489885,0.27067258020468277,-0.2097273586971299,0.08576463261524443,19.209172525638778,286.0448417222287,-18.704882294372126,286.04636564444735,-18.701532888495557
1,2460818.0729332445,0.3009518734829726,1.2038069779555371,1.3648624144025094,0.1776964719296563,4.0,2460818.072132491,2460818.0721403332,521,92,1,2,0.261610482469144,1.5746146522141162,0.261610482469144,1.5714797980394264,-0.02603913963407525,0.17650002182220934,-0.1579371745677768,0.13257114517883392,1.7243781592676668,0.21343243652794142,-0.03554016944610661,0.2161115391649065,-0.20650204072559714,0.08617945828837924,19.171681896024484,285.80372892212984,-18.70170560178401,285.80454141221423,-18.698417002906783
2,2460819.279053278,0.30095087512972896,1.2038030058397453,1.5711303169915107,0.17694713510656876,4.0,2460819.278252525,2460819.2782624424,521,92,1,2,0.4283445310493305,2.111416769174245,0.4283445310493305,2.1017356555702826,-0.009606588862017037,0.17604429394229087,-0.17579165297463134,0.21079941970249882,1.752653372142737,0.224232569121152,-0.05718978715530574,0.21459183343369403,-0.17553259011922978,0.052606955090090265,19.133662629968477,285.54676474000615,-18.69712581968306,285.547357700256,-18.69411074854659
3,2460820.485169313,0.30094989670078576,1.2037991270321982,1.1663975529402602,0.17706162266497177,2.0,2460820.48436856,2460820.484380091,521,92,1,2,0.30392479352463864,1.4952787293783727,0.30392479352463864,1.491064451128517,-0.018480133041205635,0.17244427813054186,-0.15748834727188743,0.11050487720625347,1.7529579143855818,0.21732399806921518,0.10219636316971199,0.21540459432225106,-0.12079156121977279,0.21723758559598563,19.095502997121315,285.277881550843,-18.693693615500074,285.27860290241716,-18.691089156488065
4,2460821.6912815915,0.30094898211655163,1.2037954926831844,1.3164694777702095,0.1819396533746751,4.0,2460821.690480839,2460821.690493405,521,92,1,2,0.4346009215978628,1.7219965537693094,0.4346009215978628,1.6961490668196928,0.023757163487546973,0.1856460281897694,-0.13414292423869345,0.2142465499530688,1.9400442130626816,0.22845855927321135,0.033015759639301194,0.22030406446092318,-0.15189091347595668,0.24373241013830207,19.058012031960562,284.99892744064744,-18.692038999583897,284.99998558437386,-18.68990402799886
5,2460822.8973903228,0.41438205447775545,1.4283451676083132,2.1296413338748974,0.17391122672980247,6.0,2460822.89658957,2460822.896602578,521,92,1,2,0.4926375141994652,2.810672818815837,0.4926375141994652,2.810672818815837,-0.005752951083509134,0.1870540986020132,-0.15030756363110168,0.14534664927792537,2.448786350688708,0.21065801489546787,-0.03139841272407231,0.2255304686309567,-0.15033863222850935,0.1166806865414608,19.019311829621415,284.7107829030002,-18.69236531054878,284.7122427162882,-18.690673810089468
6,2460824.326890985,0.30094701504413024,1.2014730891132785,2.748770171247095,0.18836530183046746,7.0,2460824.326090233,2460824.32610299,520,92,1,2,0.7044408565743481,2.7888311168329505,0.7044408565743481,2.7888311168329505,-0.005827939349783601,0.18979225075723088,-0.11281999189491451,0.17347018078603224,2.9832274453657117,0.22297587361109603,-0.04614699605913548,0.22876587667380163,-0.2369440823134648,0.2940266013518311,18.97359317660151,284.35818525211766,-18.69549307670839,284.35999875850865,-18.694163786855768
7,2460825.53067743,0.30094621408716193,1.2014698958150802,2.536440518098108,0.2091381080555517,6.0,2460825.5298766783,2460825.5298885545,520,92,1,2,0.5470590021469824,4.021812005351291,0.5470590021469824,3.983674702893863,0.16359280612759308,0.19258028466749358,0.009996149072348609,0.3681046109485335,2.7084924154158836,0.2647756959362765,0.008178792279866677,0.23667694757263028,-0.37234303555080095,0.3831753707762275,18.93607637929514,284.0526255942773,-18.700638478292095,284.0544443044774,-18.699357647106876
8,2460826.7344607837,0.30094548147212663,1.2014669864056486,2.5608986992652434,0.19462485704807367,6.0,2460826.7336600325,2460826.7336703953,520,92,1,2,0.6079690108056625,3.6338159946355466,0.6079690108056625,3.3773806905579393,-0.13961558550850156,0.2063138449217741,-0.4503894899408869,0.13421483222606478,3.2683347508562504,0.227012663094775,0.014666567396685391,0.24394449965424045,-0.13496834062228552,0.18277018491208943,18.89762567510944,283.740074030516,-18.708339702632067,283.7414479644443,-18.706750199987702
9,2460827.938241534,0.30094495980870306,1.2014649609086518,2.4694164447809945,0.2521740160605872,4.0,2460827.937440783,2460827.937449034,520,92,1,2,0.6408540214306896,4.170254819950573,0.6408540214306896,3.8591119020760125,0.15597143668922947,0.22844156751000935,-0.03797449541510235,0.34398068800292825,2.214609521553991,0.30883793689834166,0.04141631104777832,0.28814013645004866,-0.21583808074340247,0.29282902601180955,18.857975882563984,283.42202655714016,-18.718823414899497,283.4223120081414,-18.716433004576526
