,time,sector,camera,ccd,ra,dec,column,row,vmag,hmag
0,3814.0008007544675,92,1,2,286.56681,-18.68992,554.3783040749997,1.2116538323388824,19.298,
1,3814.0508007542703,92,1,2,286.557890312242,-18.690229534346848,554.4759411434485,2.7666985940624116,19.296508685306275,
2,3814.1008007545393,92,1,2,286.5489659798379,-18.690542894496545,554.5729113637381,4.322453262985658,19.295011358794554,
3,3814.1508007543425,92,1,2,286.5400371353151,-18.690859934572607,554.669238127518,5.878891177823178,19.293509551144187,
4,3814.2008007546115,92,1,2,286.53110391086824,-18.691180508710303,554.7649448298935,7.43598575484225,19.292004792978688,
5,3814.250800754415,92,1,2,286.52216643902415,-18.691504471033006,554.8600548622383,8.993710371816189,19.290498614977533,
6,3814.300800754219,92,1,2,286.51322485205924,-18.69183167567304,554.9545916184583,10.552038469638688,19.288992547778175,
7,3814.350800754488,92,1,2,286.5042792822495,-18.692161976762858,555.0485784922852,12.110943508722347,19.287488122018065,
8,3814.4008007542916,92,1,2,286.4953298621202,-18.69249522842566,555.1420388746938,13.67039892549532,19.28598686837669,
9,3814.4508007545605,92,1,2,286.4863767238623,-18.69283128479701,555.2349961600077,15.230378234044132,19.284490317477555,
10,3814.5008007543634,92,1,2,286.47742,-18.69317,555.3274737389414,16.790854909840704,19.283,
11,3814.550800754166,92,1,2,286.4684598081399,-18.6935112168707,555.4194972409567,18.351804770070785,19.281516670175616,
12,3814.6008007544347,92,1,2,286.4594962072225,-18.693854733059602,555.5111012387626,19.913212764492897,19.280037976612565,
13,3814.650800754237,92,1,2,286.4505292417717,-18.694200334911187,555.6023225340114,21.475066094352336,19.278560791554394,
14,3814.7008007545046,92,1,2,286.44155895597703,-18.694547808782758,555.6931979265704,23.03735203534169,19.277081987189543,
15,3814.7508007543065,92,1,2,286.432585394362,-18.694896941018715,555.7837642077398,24.600057821234337,19.27559843576156,
16,3814.800800754109,92,1,2,286.42360860119885,-18.69524751797317,555.8740581661783,26.163170745724955,19.27410700947272,
