,time_tdb,time_e,t_win,ap_flux,ap_flux_err,npix_detect,empty_flux,empty_flux_e,nt_ap_flux,nt_ap_flux_e,nframes,sector,camera,ccd,empty_flux3,ap_mag,ap_mag_err,nt_ap_mag,nt_ap_mag_err,empty_mag,empty_mag3,empty_mag_err,time_utc_sc,time_utc_geo,psf_flux,psf_flux_err,psf_mag,psf_mag_err,v_mag,ra_ephem,dec_ephem,ra_model,dec_model
0,2460816.8668097584,0.4097580720226688,1.421420406987636,0.563384141279147,0.395179476229029,1.0,0.01636235841571888,0.305410191907561,1.5689057125751726,0.3030903511013065,521,92,1,2,0.049087075247156636,21.062988455373716,0.7632170276951825,19.951007889182346,0.21562601810526127,24.905385245990374,23.712582109191217,20.265777308419676,2460816.8660090044,2460816.866014991,1.3370673451215702,0.2536967010800688,20.124616794339243,0.2119897222725328,19.209172523730548,286.04484171059937,-18.70488229434347,286.046351817726,-18.701292857946157
1,2460818.0729333023,0.30095187277083824,1.203806975106545,1.412402176089857,0.35534979086374,2.0,0.10913448127232032,0.2505961183480721,1.6446456307524313,0.27241707780571645,521,92,1,2,0.32740344381696096,20.06510405497589,0.27770140453956194,19.899819160984027,0.1866612671317648,22.84509502865397,21.652291891854812,2.4935839565374693,2460818.072132549,2460818.0721403924,1.724529356251051,0.21336128367760707,19.848323520856255,0.14333263362834106,19.171681894173542,285.80372891016384,-18.701705601563233,285.80437762194873,-18.69823827617229
2,2460819.279053333,0.3009508744053164,1.2038030029648326,1.5900316631360318,0.3539503424073406,3.0,-0.11919025585595322,0.25231289492245723,1.992330173806476,0.27284434449979766,521,92,1,2,-0.35757076756785966,19.936485568148022,0.24680893124392445,19.691596719022925,0.15687042246368893,22.749398119899013,21.55659498309986,2.2989300434330513,2460819.27825258,2460819.2782624993,1.773225577313461,0.22419317776566505,19.818090032471368,0.14609472382438307,19.133662628326004,285.5467647279071,-18.69712581949141,285.54715182872474,-18.693986020230415
3,2460820.4851693655,0.30094989604276634,1.2037991244469595,1.297084712473554,0.35398540768191056,3.0,0.0014906054946102754,0.2415317547868574,1.70506332026251,0.27133435879530465,521,92,1,2,0.004471816483830826,20.15757914815062,0.30049560178360935,19.860648720373764,0.1798673369073507,27.50659320555973,26.313790068760575,175.9283608641301,2460820.4843686125,2460820.4843801446,1.7546783432699504,0.21732387334325456,19.82950621016924,0.1434674761083464,19.095502995428088,285.2778815388875,-18.693693615386913,285.27842219709015,-18.691015222311155
4,2460821.691281642,0.3009489815181041,1.203795490302582,1.605221315133039,0.36419558563367,4.0,0.058622839126151606,0.28468327916512615,2.0562219782134394,0.308899566305613,521,92,1,2,0.17586851737845483,19.926162705165087,0.25135703977400425,19.657325007862383,0.17059828135853963,23.51983288085779,22.327029744058635,5.272771594448304,2460821.6904808893,2460821.6904934556,1.9391732992605604,0.22845807883896185,19.720958443330254,0.13733790582422686,19.058012030354973,284.9989274288254,-18.692038999554693,284.9998642698821,-18.689876994678283
5,2460822.8973903703,0.4143820537128704,1.4283451649603194,2.1023225010659043,0.34795101006353696,4.0,0.20028586041510005,0.28015383260238746,2.8001711372991456,0.2675173995529891,521,92,1,2,0.6008575812453001,19.633251653583446,0.18652438801403157,19.322038562971773,0.11514898454904729,22.185874273801165,20.99307113700201,1.519517972794754,2460822.8965896177,2460822.896602626,2.456029387615395,0.21063690533063398,19.46441610237477,0.10569118214422203,19.01931182810001,284.7107828914858,-18.692365310601097,284.7121863691829,-18.6906876379332
6,2460824.3268910297,0.3009470145202613,1.201473087019167,3.0634287449063944,0.37619980517255786,7.0,-0.005116226327461738,0.2875332264156299,3.0064434823719797,0.2915782330940101,520,92,1,2,-0.015348678982385214,19.2244805421687,0.1423990179369221,19.24486738992762,0.1165675259790472,26.167625629505352,24.974822492706195,61.01867251714912,2460824.3260902776,2460824.3261030344,2.9843571564693057,0.2229762708294962,19.252873008459318,0.09529209076818301,18.97359317517014,284.3581852409116,-18.695493076855954,284.359991080913,-18.694215414920826
7,2460825.530677473,0.3009462136030834,1.2014698938901347,2.823380119354941,0.41864110783582914,6.0,0.13855792225616886,0.29371133185646914,3.762442979574397,0.3091081986013792,520,92,1,2,0.4156737667685066,19.31307661916956,0.16857501006812353,19.001325182876542,0.1022577249203695,22.58592159434032,21.393118457541163,2.3020572649220004,2460825.5298767216,2460825.5298885973,2.7078523440044906,0.2647752957792727,19.358437552268196,0.1173489261604835,18.936076377956343,284.0526255831532,-18.70063847852181,284.05442508314104,-18.699430533842143
8,2460826.7344608246,0.30094548107967967,1.2014669848576887,2.6819545070028665,0.3888852117469177,5.0,-0.11627775273495808,0.30586602094186593,2.9545742865626767,0.2980568797703752,520,92,1,2,-0.3488332582048742,19.36887148299441,0.1651816766456513,19.263762715311938,0.12040170506922408,22.77625842574728,21.583455288948123,2.856442378871908,2460826.7336600735,2460826.733670435,3.2681399415544825,0.22701266309477502,19.154248388195082,0.09048669468921433,18.897625673810126,283.74007401977343,-18.708339702940666,283.7413410813511,-18.70683333174044
9,2460827.938241574,0.30094495968364754,1.2014649604793703,3.1600284574507516,0.5038994291600961,5.0,0.419032624064892,0.3429473117414364,3.4645901102447194,0.3979476628264018,520,92,1,2,1.257097872194676,19.190772515876315,0.18020729248538062,19.09087034663382,0.13435914224330667,21.384380408575918,20.19157727177676,0.8900006465140129,2460827.937440823,2460827.9374490725,2.2156495009783073,0.30883928731267696,19.576247351544954,0.15938636768921907,18.85797588130091,283.4220265464939,-18.718823415291467,283.422008201849,-18.71651277316937
