,time,sector,camera,ccd,ra,dec,column,row,vmag,hmag
0,3802.5508007565754,92,2,3,288.3205374799421,-18.709760291330447,1637.111583671734,314.4539145813893,19.639524575106474,
1,3802.6008007568457,92,2,3,288.3148819411541,-18.709769421505083,1636.980977983578,313.49537346746285,19.638030026879207,
2,3802.6508007566504,92,2,3,288.309212142421,-18.70976705167966,1636.8480692162639,312.53460304653095,19.636521478665898,
3,3802.70080075692,92,2,3,288.30352684231536,-18.709752843010065,1636.7127697035976,311.57139967512353,19.635004053758358,
4,3802.7508007567244,92,2,3,288.2978247996199,-18.709726456652515,1636.5749917922071,310.60555967373887,19.63348287550471,
5,3802.8008007565286,92,2,3,288.29210477295715,-18.709687553762844,1636.4346478326563,309.6368792633102,19.631963067210677,
6,3802.8508007567984,92,2,3,288.28636552094804,-18.70963579549647,1636.2916501830173,308.6651545912637,19.630449752182027,
7,3802.900800756603,92,2,3,288.280605802373,-18.709570843010276,1636.1459112128289,307.69018175796265,19.628948053766802,
8,3802.9508007568734,92,2,3,288.2748243757971,-18.709492357458988,1635.9973432935906,306.711756752359,19.627463095256953,
9,3803.000800756678,92,2,3,288.26902,-18.709400000000002,1635.845858809508,305.7296755238032,19.626,
10,3803.0508007564836,92,2,3,288.2631915526605,-18.709293542863833,1635.6913921420673,304.7437516458786,19.62456219264596,
11,3803.1008007567543,92,2,3,288.2573383877015,-18.709173202581503,1635.5339656590154,303.75386954578005,19.623146303222146,
12,3803.1508007565603,92,2,3,288.25145997826905,-18.70903930676271,1635.3736237394053,302.75993137603047,19.621747263139426,
13,3803.2008007568315,92,2,3,288.2455557972889,-18.70889218301241,1635.2104107695716,301.76183922534506,19.620360003756176,
14,3803.2508007566375,92,2,3,288.23962531790386,-18.7087321589408,1635.044371155127,300.75949519227254,19.61897945648273,
15,3803.3008007564436,92,2,3,288.23366801309044,-18.708559562154026,1634.8755493105389,299.75280132002194,19.61760055269065,
16,3803.3508007567148,92,2,3,288.2276833558221,-18.70837472025775,1634.7039896636663,298.74165962375184,19.61621822375157,
17,3803.4008007565208,92,2,3,288.2216708192379,-18.708177960862873,1634.5297366607988,297.72597211872556,19.61482740107573,
18,3803.450800756792,92,2,3,288.2156298762516,-18.70796961157318,1634.3528347555266,296.70564075392264,19.613423016021653,
19,3803.500800756597,92,2,3,288.20956,-18.70775,1634.1733284218415,295.6805674874191,19.612,
20,3803.550800756402,92,2,3,288.2034607794809,-18.7075194972167,1633.9912723695056,294.65067294979775,19.610554654341893,
21,3803.600800756673,92,2,3,288.19733226781506,-18.70727864816742,1633.8067622280917,293.6159526774007,19.60908876021618,
22,3803.6508007564776,92,2,3,288.19117463432406,-18.707028041270934,1633.6199038707218,292.57642097656685,19.607605468792364,
23,3803.700800756748,92,2,3,288.1849880480986,-18.70676826493681,1633.430803175229,291.5320921298206,19.606107931185065,
24,3803.750800756552,92,2,3,288.17877267845734,-18.706499907584146,1633.2395660382726,290.4829804736702,19.604599298564377,
25,3803.8008007563562,92,2,3,288.17252869454387,-18.70622355762481,1633.046298363246,289.4291003308799,19.60308272205859,
26,3803.8508007566265,92,2,3,288.1662562654989,-18.70593980347038,1632.851106065678,288.37046603982475,19.601561352795727,
27,3803.9008007564307,92,2,3,288.15995556063604,-18.70564923354038,1632.654095078943,287.3070919844995,19.600038341946306,
28,3803.9508007567006,92,2,3,288.1536267490329,-18.70535243624366,1632.455371341685,286.2389925257671,19.598516840624217,
29,3804.0008007565048,92,2,3,288.14727,-18.705049999999996,1632.2550408126751,285.16618208079717,19.597,
30,3804.050800756309,92,2,3,288.1408855295004,-18.70474247827444,1632.0532044981182,284.0886837772527,19.595490190019078,
31,3804.100800756579,92,2,3,288.1344737408201,-18.704430284746053,1631.8499435743695,283.00655565666125,19.593986655896718,
32,3804.1508007563834,92,2,3,288.1280350842543,-18.70411379815618,1631.6453342681639,281.9198645413443,19.592487861707596,
33,3804.2008007566533,92,2,3,288.1215700098568,-18.703793397234463,1631.4394528025705,280.8286772416449,19.590992271470444,
34,3804.250800756458,92,2,3,288.1150789679198,-18.703469460722406,1631.2323754123013,279.7330606373196,19.589498349259767,
35,3804.3008007562626,92,2,3,288.10856240855344,-18.70314236735259,1631.0241783304016,278.6330816069404,19.588004559108317,
36,3804.350800756533,92,2,3,288.1020207818646,-18.702812495857454,1630.8149377940026,277.5288070585734,19.58650936504882,
37,3804.400800756337,92,2,3,288.09545453814115,-18.702480224978675,1630.6047300503094,276.42030396118463,19.58501123115579,
38,3804.4508007566074,92,2,3,288.0888641274248,-18.702145933445603,1630.3936313429695,275.30763927299313,19.583508621447965,
39,3804.500800756412,92,2,3,288.08225,-18.70181,1630.1817179278005,274.1908800243537,19.582,
40,3804.5508007562166,92,2,3,288.07561258262757,-18.7014727796923,1629.9690614154185,273.0700897987181,19.580484585615338,
41,3804.600800756487,92,2,3,288.06895220871627,-18.70113453284494,1629.7557148453675,271.94531841882014,19.578964616180194,
42,3804.650800756291,92,2,3,288.0622691885216,-18.70079549610782,1629.541726622173,270.81661231237393,19.577443084394012,
43,3804.7008007565614,92,2,3,288.0555638320492,-18.70045590611824,1629.3271451450114,269.6840178850041,19.57592298289965,
44,3804.750800756366,92,2,3,288.04883644955214,-18.70011599952613,1629.112018823665,268.54758160449234,19.57440730439655,
45,3804.8008007561702,92,2,3,288.0420873510946,-18.699776012971927,1628.8963960645763,267.4073499272814,19.572899041541675,
46,3804.8508007564405,92,2,3,288.0353168467383,-18.69943618309608,1628.6803252768625,266.26336933020434,19.571401186992247,
